"filename", "language", "JavaScript", "HTML", "CSS", "vue", "SCSS", "YAML", "Markdown", "JSON", "XML", "comment", "blank", "total"
"d:\Source code\guagui\JRMS2.0\src\icons\svg\password.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Source code\guagui\JRMS2.0\src\icons\svg\pdf.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Source code\guagui\JRMS2.0\src\icons\svg\people.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Source code\guagui\JRMS2.0\src\icons\svg\peoples.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Source code\guagui\JRMS2.0\src\icons\svg\qq.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Source code\guagui\JRMS2.0\src\icons\svg\search.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Source code\guagui\JRMS2.0\src\icons\svg\shopping.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Source code\guagui\JRMS2.0\src\icons\svg\shuju_jilu.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Source code\guagui\JRMS2.0\src\icons\svg\size.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Source code\guagui\JRMS2.0\src\icons\svg\skill.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Source code\guagui\JRMS2.0\src\icons\svg\software_version.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Source code\guagui\JRMS2.0\src\icons\svg\star.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Source code\guagui\JRMS2.0\src\icons\svg\sys_info.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Source code\guagui\JRMS2.0\src\icons\svg\tab.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Source code\guagui\JRMS2.0\src\icons\svg\table.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Source code\guagui\JRMS2.0\src\icons\svg\task_plan.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 37, 1, 1, 39
"d:\Source code\guagui\JRMS2.0\src\icons\svg\task_setting.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 1, 1, 27
"d:\Source code\guagui\JRMS2.0\src\icons\svg\theme.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Source code\guagui\JRMS2.0\src\icons\svg\tree-table.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
